,Unnamed: 0,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
49,49,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",95 €,3h 40m,06:05,08:45,1 escale,LOT Polish Airlines
50,50,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",100 €,4h 10m,13:50,17:00,1 escale,LOT Polish Airlines
51,51,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",22 €,19h 45m,16:15,11:00,1 escale,Ryanair
52,52,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",22 €,24h 50m,20:25,20:15,1 escale,Ryanair
53,53,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",62 €,9h 0m,14:40,22:40,1 escale,Ryanair
54,54,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",151 €,4h 5m,17:15,20:20,1 escale,Plusieurs compagnies
55,55,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",115 €,5h 30m,07:00,11:30,1 escale,Plusieurs compagnies
56,56,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",35 €,19h 10m,14:00,08:10,1 escale,Ryanair
57,57,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",58 €,11h 40m,11:55,22:35,1 escale,Plusieurs compagnies
58,58,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",136 €,5h 5m,06:05,10:10,1 escale,Lufthansa
59,59,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",135 €,5h 15m,15:00,19:15,1 escale,Plusieurs compagnies
60,60,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",252 €,5h 10m,17:05,01:45,Direct,Air India
61,61,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",270 €,5h 10m,17:05,01:45,Direct,Egyptair
62,62,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",147 €,9h 40m,06:00,19:10,1 escale,Etihad Airways
63,63,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",207 €,8h 25m,15:10,03:05,1 escale,Flynas
64,64,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",240 €,8h 40m,16:05,04:15,1 escale,Air Arabia
65,65,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",185 €,11h 30m,13:55,04:55,1 escale,Gulf Air
66,66,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",317 €,8h 25m,18:45,06:40,1 escale,Oman Air
67,67,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",266 €,10h 10m,13:25,03:05,1 escale,Flynas
68,68,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",286 €,9h 30m,13:40,02:40,1 escale,Etihad Airways
