,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies,PIB par habitant (€)
57,Bangladesh,2023-01-30,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",135 €,5h 5m,06:05,10:10,1 escale,Lufthansa,3570.0
58,Bangladesh,2023-01-30,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",135 €,5h 15m,15:00,19:15,1 escale,Plusieurs compagnies,3570.0
59,Bangladesh,2023-01-30,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",135 €,5h 15m,15:00,19:15,1 escale,Lufthansa,3570.0
60,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",252 €,5h 10m,17:05,01:45,Direct,Air India,3570.0
61,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",270 €,5h 10m,17:05,01:45,Direct,Egyptair,3570.0
62,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",150 €,9h 40m,06:00,19:10,1 escale,Etihad Airways,3570.0
63,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",207 €,8h 25m,15:10,03:05,1 escale,Flynas,3570.0
64,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",240 €,8h 40m,16:05,04:15,1 escale,Air Arabia,3570.0
65,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",185 €,11h 30m,13:55,04:55,1 escale,Gulf Air,3570.0
66,Bangladesh,2023-01-30,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",318 €,8h 25m,18:45,06:40,1 escale,Oman Air,3570.0
