,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies,Pays,PIB par habitant ($)
103,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",57 €,11h 50m,11:45,22:35,1 escale,Wizz Air,Cambodge,4000
104,Cambodge,30/01/2023,"Aéroport international de Riga, Riga, Lettonie","Vienna Schwechat International Airport, Vienne, Autriche",62 €,11h 0m,07:05,17:05,1 escale,Plusieurs compagnies,Cambodge,4000
105,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",264 €,5h 10m,17:05,01:45,Direct,Air India,Cambodge,4000
106,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",146 €,9h 40m,06:00,19:10,1 escale,Etihad Airways,Cambodge,4000
107,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",279 €,5h 10m,17:05,01:45,Direct,Egyptair,Cambodge,4000
108,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",203 €,9h 30m,13:40,02:40,1 escale,Etihad Airways,Cambodge,4000
109,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",229 €,8h 25m,15:10,03:05,1 escale,Flynas,Cambodge,4000
110,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",246 €,8h 40m,16:05,04:15,1 escale,Air Arabia,Cambodge,4000
111,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",196 €,11h 30m,13:55,04:55,1 escale,Gulf Air,Cambodge,4000
112,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",229 €,10h 10m,13:25,03:05,1 escale,Flynas,Cambodge,4000
113,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",231 €,10h 20m,23:30,13:20,1 escale,Plusieurs compagnies,Cambodge,4000
114,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",208 €,12h 45m,10:50,03:05,1 escale,Flynas,Cambodge,4000
115,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",209 €,13h 10m,10:25,03:05,1 escale,Plusieurs compagnies,Cambodge,4000
116,Cambodge,30/01/2023,"Aéroport international du Caire, Le Caire, Egypte","Chhatrapati Shivaji International Airport, Mumbai, Maharashtra, Inde",167 €,16h 35m,10:25,06:30,1 escale,Saudia,Cambodge,4000
